company,country,sector
Nagarjuna Agri Tech Ltd. (531832),India,Farming Companies
Namunukula Plantations PLC (NAMUN),Sri Lanka,Farming Companies
Nath Bio-Genes (India) Ltd. (537291),India,Farming Companies
National Agricultural Development Co. (6010),Saudi Arabia,Farming Companies
National Stock Yards Co. (NSYC),United States,Farming Companies
Negri Sembilan Oil Palms Bhd (NSOP),Malaysia,Farming Companies
Neha International Ltd. (519560),India,Farming Companies
New Age Farm Inc. (NWGFF),United States,Farming Companies
Nimbus Industries Ltd. (530971),India,Farming Companies
Nong Woo Bio Co. Ltd. (054050),South Korea,Farming Companies
Nousouken Corp. (3541),Japan,Farming Companies
Now Corp. (NWPN),United States,Farming Companies
NPC Resources Bhd (NPC),Malaysia,Farming Companies
Ocean Smart Inc. (OCSM),United States,Farming Companies
Omega Ag-Seeds (Punjab) Ltd. (519479),India,Farming Companies
Organic Alliance Inc. (ORGC),United States,Farming Companies
Origin Agritech Ltd. (SEED),United States,Farming Companies
Origin Enterprises PLC (OGN),United Kingdom,Farming Companies
Origin Enterprises PLC (OIZ),Ireland,Farming Companies
Origin Enterprises PLC (ORENF),United States,Farming Companies
Ovostar Union N.V. (OVO),Poland,Farming Companies
Parabel Inc. (PABL),United States,Farming Companies
Peria Karamalai Tea & Produce Co. Ltd. (PERIATEA),India,Farming Companies
PGG Wrightson Ltd. (PGW),New Zealand,Farming Companies
PGG Wrightson Ltd. (PGWFF),United States,Farming Companies
Pinehill Pacific Bhd (PINEPAC),Malaysia,Farming Companies
Plandai Biotechnology Inc. (8D1),Germany,Farming Companies
Plandai Biotechnology Inc. (PLPL),United States,Farming Companies
Pochiraju Industries Ltd. (532803),India,Farming Companies
Pomifrutas S/A Ord (FRTA3),Brazil,Farming Companies
Prasidha Aneka Niaga (PSDN),Indonesia,Farming Companies
Produce Investments PLC (PIL),United Kingdom,Farming Companies
Provident Agro (PALM),Indonesia,Farming Companies
PWF Consolidated Bhd (PWF),Malaysia,Farming Companies
Qassim Agricultural Co. (6020),Saudi Arabia,Farming Companies
QL Resources Bhd (QL),Malaysia,Farming Companies
R.E.A. Holdings PLC (RE.),United Kingdom,Farming Companies
R.E.A. Holdings PLC 9% Cum. Pfd. (RE.B),United Kingdom,Farming Companies
Raghuvansh Agrofarms Ltd. (538921),India,Farming Companies
Ratnamani Agro Industries Ltd. (507652),India,Farming Companies
Razguliay Group (GRAZ),Russia,Farming Companies
Rimbunan Sawit Bhd (RSAWIT),Malaysia,Farming Companies
Riverview Rubber Estates Bhd (RVIEW),Malaysia,Farming Companies
Rossell India Ltd. (533168),India,Farming Companies
Royal Hawaiian Orchards L.P. (NNUTU),United States,Farming Companies
Rusgreyn Holding (RUGR),Russia,Farming Companies
S&W Seed Co. (SANW),United States,Farming Companies
Sakata Seed Corp. (1377),Japan,Farming Companies
Sampoerna Agro (SGRO),Indonesia,Farming Companies
Sarawak Oil Palms Bhd (SOP),Malaysia,Farming Companies
Sarawak Plantation Bhd (SWKPLNT),Malaysia,Farming Companies
Sawit Sumbermas Sarana (SSMS),Indonesia,Farming Companies
Scales Corp. Ltd. (SCL),New Zealand,Farming Companies
Selinsing PLC (SELIN),Sri Lanka,Farming Companies
Sen Yu International Holdings Inc. (CSWG),United States,Farming Companies
Shandong Denghai Seeds Co. Ltd. A (002041),China,Farming Companies
Shandong Minhe Animal Husbandry Co. Ltd. (002234),China,Farming Companies
Shandong Xiantan Co. Ltd. A (002746),China,Farming Companies
Shandong Yisheng Livestock & Poultry Breeding Co. Ltd. (002458),China,Farming Companies
Shanghai Xuerong Bio-Technology Co. Ltd. (300511),China,Farming Companies
Shenzhen Kondarl (Group) Co. Ltd. A (000048),China,Farming Companies
Sierad Produce (SIPD),Indonesia,Farming Companies
Simran Farms Ltd. (519566),India,Farming Companies
Sin Heng Chan (Malaya) Bhd (SHCHAN),Malaysia,Farming Companies
Sinar Mas Agro Resources & Technology (SMAR),Indonesia,Farming Companies
Sipef S.A. (SIP),Belgium,Farming Companies
SLC Agricola S/A ADR (SLCJY),United States,Farming Companies
SLC Agricola S/A Ord (SLCE3),Brazil,Farming Companies
SLC Agricola S/A Ord (SLCJF),United States,Farming Companies
Societa per la Bonifica dei Terreni Ferraresi e per Imprese Agricole S.p.A. (BF),Italy,Farming Companies
Societe Internationale de Plantations d'Heveas S.A. (SIPH),France,Farming Companies
Sohar Poultry (SPCI),Oman,Farming Companies
Stevia Corp. (STEV),United States,Farming Companies
Sungei Bagan Rubber Co. (Malaya) Bhd (SBAGAN),Malaysia,Farming Companies
Tabuk Agriculture Development Co. (6040),Saudi Arabia,Farming Companies
Tac Tarim Urunleri Hayvancilik Gida Sanayi ve Ticaret A.S. (TACTR),Turkey,Farming Companies
A.D. Makepeace Co. (MAKE),United States,Farming Companies
Abico Holdings PCL (ABICO),Thailand,Farming Companies
Abico Holdings PCL NVDR (ABICO-R),Thailand,Farming Companies
Abundant Produce Ltd. (ABT),Australia,Farming Companies
Adecoagro S.A. (AGRO),United States,Farming Companies
Adecoagro S.A. (ACD),Germany,Farming Companies
Agalawatte Plantations PLC (AGALN),Sri Lanka,Farming Companies
AGRIA Corp. ADR (4ACA),Germany,Farming Companies
AGRIA Corp. ADR (GRO),United States,Farming Companies
AgriEuro Corp. (EURI),United States,Farming Companies
Agri-Tech (India) Ltd. (537292),India,Farming Companies
Agriterra Ltd. (AGTA),United Kingdom,Farming Companies
AgroGeneration S.A. (ALAGR),France,Farming Companies
Agroindustrial Laredo S.A.A. (LAREDOC1),Peru,Farming Companies
Agroindustrias San Jacinto S.A.A. (SNJACIC1),Peru,Farming Companies
Agroton Public Ltd. (AGT),Poland,Farming Companies
Agroton Public Ltd. ADR (A2TA),Germany,Farming Companies
Agrowill Group AB (AVG1L),Lithuania,Farming Companies
Agrowill Group AB (AWG),Poland,Farming Companies
Aja Cannafacturing Inc. (AJAC),United States,Farming Companies
Al Jouf Agricultural Development Co. (6070),Saudi Arabia,Farming Companies
Algae Dynamics Corp. (ADYNF),United States,Farming Companies
Alico Inc. (ALCO),United States,Farming Companies
Amatheon Agri Holding N.V. (MLAAH),France,Farming Companies
Amradeep Industries Ltd. (531681),India,Farming Companies
Anglo African Agriculture PLC (AAAP),United Kingdom,Farming Companies
Anglo-Eastern Plantations PLC (AEP),United Kingdom,Farming Companies
Aoxin Tianli Group Inc. (ABAC),United States,Farming Companies
Ash-Sharqiyah Development Co. (6060),Saudi Arabia,Farming Companies
Asia Siyaka Commodities Ltd. (ASIYN),Sri Lanka,Farming Companies
Astra Agro Lestari (ASX),Germany,Farming Companies
Astra Agro Lestari (AALI),Indonesia,Farming Companies
Astra Agro Lestari ADR (AAGRY),United States,Farming Companies
Astral Asia Bhd (AASIA),Malaysia,Farming Companies
Austindo Nusantara Jaya (ANJT),Indonesia,Farming Companies
Australian Agricultural Co. Ltd. (AY5),Germany,Farming Companies
Australian Agricultural Co. Ltd. (ASAGF),United States,Farming Companies
Australian Agricultural Co. Ltd. (AAC),Australia,Farming Companies
Avangardco Investments Public Ltd. GDR (AVGR),United Kingdom,Farming Companies
Bairaha Farms PLC (BFLN),Sri Lanka,Farming Companies
Bakrie Sumatera Plantations (UNSP),Indonesia,Farming Companies
Balangoda Plantations PLC (BALAN),Sri Lanka,Farming Companies
Baywa AG (BYW),United States,Farming Companies
Baywa AG A (BYW6),United States,Farming Companies
Beleave Inc. (4B9),Germany,Farming Companies
Beleave Inc. (BLEVF),United States,Farming Companies
Berg Earth Co. Ltd. (1383),Japan,Farming Companies
Bevo Agro Inc. (BVO),Canada,Farming Companies
Bishah Agricultural Development Co. (6080),Saudi Arabia,Farming Companies
Bisi International (BISI),Indonesia,Farming Companies
Black Earth Farming Ltd. (BEFSDB),Sweden,Farming Companies
Black Earth Farming Ltd. (BLERF),United States,Farming Companies
Black Earth Farming Ltd. SDR (5B8),Germany,Farming Companies
BLD Plantation Bhd (BLDPLNT),Malaysia,Farming Companies
Bogawantalawa Tea Estates PLC (BOPLN),Sri Lanka,Farming Companies
Boustead Plantations Bhd (BPLANT),Malaysia,Farming Companies
BrasilAgro-Companhia Brasileira de Propriedades Agricolas ADR (LND),United States,Farming Companies
BrasilAgro-Companhia Brasileira de Propriedades Agricolas Ord (AGRO3),Brazil,Farming Companies
Bukit Darah PLC (BUKIN),Sri Lanka,Farming Companies
Bumitama Agri Ltd. (P8Z),Singapore,Farming Companies
Buscar Co. (CGLD),United States,Farming Companies
Cab Cakaran Corp. Bhd (CAB),Malaysia,Farming Companies
Cadiz Inc. (CDZI),United States,Farming Companies
Cal-Maine Foods Inc. (CM2),Germany,Farming Companies
Cal-Maine Foods Inc. (CALM),United States,Farming Companies
Camson Seeds Ltd. (540071),India,Farming Companies
Canadian Cannabis Corp. (CCAN),United States,Farming Companies
Cannabis Sativa Inc. (CBDS),United States,Farming Companies
Carlos Casado S.A. (CADO),Argentina,Farming Companies
Cartavio S.A.A (CARTAVC1),Peru,Farming Companies
Cepatwawasan Group Bhd (CEPAT),Malaysia,Farming Companies
Ceylon Tea Services PLC (CTEAN),Sri Lanka,Farming Companies
Chaoda Modern Agriculture (Holdings) Ltd. (0682),Hong Kong,Farming Companies
Chaoda Modern Agriculture (Holdings) Ltd. (CHA),Germany,Farming Companies
Chaoda Modern Agriculture (Holdings) Ltd. (CMGHF),United States,Farming Companies
Chaoda Modern Agriculture (Holdings) Ltd. ADR (CMGHY),United States,Farming Companies
Charoen Pokphand Foods PCL (CPF),Thailand,Farming Companies
Charoen Pokphand Foods PCL ADR (CPOKY),United States,Farming Companies
Charoen Pokphand Foods PCL Fgn (CHPFF),United States,Farming Companies
Charoen Pokphand Foods PCL Fgn (CPOF),Germany,Farming Companies
Charoen Pokphand Foods PCL NVDR (NVAV),Germany,Farming Companies
Charoen Pokphand Foods PCL NVDR (CPF-R),Thailand,Farming Companies
Chew's Group Ltd. (5SY),Singapore,Farming Companies
Chew's Group Ltd. (CWF),Germany,Farming Companies
Chin Teck Plantations Bhd (CHINTEK),Malaysia,Farming Companies
China Dairy Corp. Ltd. CDI (CDC),Australia,Farming Companies
China Finance Investment Holdings Ltd. (0875),Hong Kong,Farming Companies
China Hainan Rubber Industry Group Co. Ltd. (601118),China,Farming Companies
China Modern Agricultural Information Inc. (CMCI),United States,Farming Companies
China ZhongDi Dairy Holdings Co. Ltd. (1492),Hong Kong,Farming Companies
CHS Inc. 6.75% Redeem. Pfd. Series 3 Cl B (CHSCM),United States,Farming Companies
CHS Inc. 7.5% Cum. Redeem. Pfd. Cl B Series 4 (CHSCL),United States,Farming Companies
CHS Inc. 7.875% Cum. Redeem. Pfd. Cl B (CHSCO),United States,Farming Companies
CHS Inc. 8% Cum. Redeem. Pfd. (CHSCP),United States,Farming Companies
CHS Inc. Cum. Redeem. Pfd. Cl B Series 2 (CHSCN),United States,Farming Companies
Chuying Agro Pastoral Group Co. Ltd. (002477),China,Farming Companies
Compania Agropecuaria Copeval S.A. (COPEVAL),Chile,Farming Companies
Costa Group Holdings Ltd. (CGC),Australia,Farming Companies
Cresud S.A.C.I.F. ADR (CD8),Germany,Farming Companies
Cresud S.A.C.I.F. y A. (CRES),Argentina,Farming Companies
Cresud S.A.C.I.F. y A. ADR (CRESY),United States,Farming Companies
Crookes Brothers Ltd. (CKS),South Africa,Farming Companies
D.B.E. Gurney Resources Bhd (DBE),Malaysia,Farming Companies
Dharma Satya Nusantara (DSNG),Indonesia,Farming Companies
Digital China Group Co. Ltd. A (000034),China,Farming Companies
Dongfang Modern Agriculture Holding Group Ltd. (DFM),Australia,Farming Companies
Duncans Industries Ltd. (590063),India,Farming Companies
DutaLand Bhd (DUTALND),Malaysia,Farming Companies
Eagle High Plantations (BWPT),Indonesia,Farming Companies
Eco Friendly Food Processing Park Ltd. (534839),India,Farming Companies
Elders Ltd. (ELD),Australia,Farming Companies
Elders Ltd. ADR (EDESY),United States,Farming Companies
Elders Ltd. Pfd. (ELDPA),Australia,Farming Companies
Elpitiya Plantations PLC (ELPLN),Sri Lanka,Farming Companies
Emerald Health Therapeutics Inc. (EMH),Canada,Farming Companies
Empresa Agroindustrial Pomalca S.A.A. (POMALCC1),Peru,Farming Companies
Empresa Agroindustrial Tuman S.A.A. (TUMANC1),Peru,Farming Companies
Enjaz for Development & Multi Projects Co. PLC (ATCO),Jordan,Farming Companies
Equatorial Palm Oil PLC (PAL),United Kingdom,Farming Companies
Far East Holdings Bhd (FAREAST),Malaysia,Farming Companies
Farm Lands of Africa Inc. (FLAF),United States,Farming Companies
Farm Pride Foods Ltd. (FRM),Australia,Farming Companies
Felda Global Ventures Holdings Bhd (FGV),Malaysia,Farming Companies
Feronia Inc. (FRN),Canada,Farming Companies
First Resources Ltd. (EB5),Singapore,Farming Companies
FirstFarms A/S (FFARMS),Denmark,Farming Companies
Fujian Sunner Development Co. Ltd. (002299),China,Farming Companies
Gansu Dunhuang Seed Co. Ltd. A (600354),China,Farming Companies
Gansu Yasheng Industrial (Group) Co. Ltd. A (600108),China,Farming Companies
Genera Agri Corp. Ltd. (590133),India,Farming Companies
Genting Plantations Bhd (GENP),Malaysia,Farming Companies
Genus PLC (GENSF),United States,Farming Companies
Genus PLC (GNS),United Kingdom,Farming Companies
Genus PLC (GBE),Germany,Farming Companies
Global Palm Resources Holdings Ltd. (BLW),Singapore,Farming Companies
Golden Agri-Resources Ltd. (E5H),Singapore,Farming Companies
Golden Land Bhd (GLBHD),Malaysia,Farming Companies
Golden Leaf Holdings Ltd. (9GL),Germany,Farming Companies
Golden Leaf Holdings Ltd. (GLDFF),United States,Farming Companies
Gopeng Bhd (GOPENG),Malaysia,Farming Companies
Gozco Plantations (GZCO),Indonesia,Farming Companies
GrainCorp Ltd. (GRCLF),United States,Farming Companies
GrainCorp Ltd. (GNC),Australia,Farming Companies
GrainCorp Ltd. (G3C),Germany,Farming Companies
Green & Hill Industries Inc. (GHIL),United States,Farming Companies
Grobina AS (GRZ1R),Latvia,Farming Companies
Guangdong Wen's Foodstuff Group Co. Ltd. A (300498),China,Farming Companies
Hainan Shennong Gene Technology Co. Ltd. A (300189),China,Farming Companies
Hap Seng Plantations Holdings Bhd (HSPLANT),Malaysia,Farming Companies
Harn Len Corp. Bhd (HARNLEN),Malaysia,Farming Companies
Dongwon Metal Co. Ltd. (018500),South Korea,Motor Vehicle Parts Companies
Dorman Products Inc. (DORM),United States,Motor Vehicle Parts Companies
DPOLLUTION International Inc. (RMGX),United States,Motor Vehicle Parts Companies
Dual Co. Ltd. (016740),South Korea,Motor Vehicle Parts Companies
Dual Industrial Co. Ltd. (078590),South Korea,Motor Vehicle Parts Companies
Duck Yang Industry Co. Ltd. (024900),South Korea,Motor Vehicle Parts Companies
EAG-Beteiligungs AG (EAGB),Austria,Motor Vehicle Parts Companies
Eastern Treads Ltd. (531346),India,Motor Vehicle Parts Companies
Ecoplastic Corp. (038110),South Korea,Motor Vehicle Parts Companies
EGE Endustri ve Ticaret A.S. (EGEEN),Turkey,Motor Vehicle Parts Companies
Eiken Industries Co. Ltd. (7265),Japan,Motor Vehicle Parts Companies
Elgi Rubber Co. Ltd. (ELGIRUBCO),India,Motor Vehicle Parts Companies
ElringKlinger AG (ZIL2),United States,Motor Vehicle Parts Companies
ElringKlinger AG (0MG5),United Kingdom,Motor Vehicle Parts Companies
Enerpulse Technologies Inc. (ENPT),United States,Motor Vehicle Parts Companies
Enkei Wheels (India) Ltd. (533477),India,Motor Vehicle Parts Companies
Enova Systems Inc. (ENVS),United States,Motor Vehicle Parts Companies
Enterex International Ltd. (1592),Taiwan,Motor Vehicle Parts Companies
Environmental Control Corp. (EVCC),United States,Motor Vehicle Parts Companies
EP Manufacturing Bhd (EPMB),Malaysia,Motor Vehicle Parts Companies
Eurocharm Holdings Co. Ltd. (5288),Taiwan,Motor Vehicle Parts Companies
Ewon Comfortech Co. Ltd. (088290),South Korea,Motor Vehicle Parts Companies
Exedy Corp. (7278),Japan,Motor Vehicle Parts Companies
F.C.C. Co. Ltd. (FCV),Germany,Motor Vehicle Parts Companies
F.C.C. Co. Ltd. (7296),Japan,Motor Vehicle Parts Companies
Faltec Co. Ltd. (7215),Japan,Motor Vehicle Parts Companies
Fangda Special Steel Technology Co. Ltd. (600507),China,Motor Vehicle Parts Companies
Faurecia S.A. (EO),France,Motor Vehicle Parts Companies
Faurecia S.A. (0MGR),United Kingdom,Motor Vehicle Parts Companies
Federal Corp. (2102),Taiwan,Motor Vehicle Parts Companies
Federal-Mogul Goetze India Ltd. (505744),India,Motor Vehicle Parts Companies
Federal-Mogul Holdings Corp. (FDML),United States,Motor Vehicle Parts Companies
Federal-Mogul Izmit Piston ve Pim Uretim Tesisleri A.S. (FMIZP),Turkey,Motor Vehicle Parts Companies
Fenix Parts Inc. (FENX),United States,Motor Vehicle Parts Companies
FIEM Industries Ltd. (532768),India,Motor Vehicle Parts Companies
Fine Sinter Co. Ltd. (5994),Japan,Motor Vehicle Parts Companies
Firma Oponiarska Debica S.A. (DBC),Poland,Motor Vehicle Parts Companies
Fortune Parts Industry PCL (FPI),Thailand,Motor Vehicle Parts Companies
Fortune Parts Industry PCL NVDR (FPI-R),Thailand,Motor Vehicle Parts Companies
Fota S.A. (FOT),Poland,Motor Vehicle Parts Companies
Fras-Le S/A Ord (FRAS3),Brazil,Motor Vehicle Parts Companies
Frauenthal Holding AG (F1H),Germany,Motor Vehicle Parts Companies
Frauenthal Holding AG (FKA),Austria,Motor Vehicle Parts Companies
F-Tech Inc. (7212),Japan,Motor Vehicle Parts Companies
Fuji Kiko Co. Ltd. (7260),Japan,Motor Vehicle Parts Companies
Fuji Oozx Inc. (7299),Japan,Motor Vehicle Parts Companies
Futaba Industrial Co. Ltd. (7241),Japan,Motor Vehicle Parts Companies
Fuxin Dare Automotive Parts Co. Ltd. (300473),China,Motor Vehicle Parts Companies
G.S. Auto International Ltd. (513059),India,Motor Vehicle Parts Companies
G-7 Holdings Inc. (7508),Japan,Motor Vehicle Parts Companies
Gabriel (India) Ltd. (505714),India,Motor Vehicle Parts Companies
Gajah Tunggal (GJTL),Indonesia,Motor Vehicle Parts Companies
Gajra Bevel Gears Ltd. (505711),India,Motor Vehicle Parts Companies
Gentex Corp. (GTX),Germany,Motor Vehicle Parts Companies
Gentex Corp. (GNTX),United States,Motor Vehicle Parts Companies
Gentherm Inc. (THRM),United States,Motor Vehicle Parts Companies
Gentherm Inc. (QA4A),Germany,Motor Vehicle Parts Companies
Genuine Parts Co. (GPT),Germany,Motor Vehicle Parts Companies
Genuine Parts Co. (GPC),United States,Motor Vehicle Parts Companies
Gevelot S.A. (ALGEV),France,Motor Vehicle Parts Companies
Giti Tire Corp. A (600182),China,Motor Vehicle Parts Companies
GKN PLC (GKN),Germany,Motor Vehicle Parts Companies
GKN PLC (GKNNF),United States,Motor Vehicle Parts Companies
GKN PLC (GKN),United Kingdom,Motor Vehicle Parts Companies
GKN PLC ADR (GKNLY),United States,Motor Vehicle Parts Companies
GMB Corp. (7214),Japan,Motor Vehicle Parts Companies
GMB Korea Corp. (013870),South Korea,Motor Vehicle Parts Companies
GNA Axles Ltd. (540124),India,Motor Vehicle Parts Companies
Goodyear (Thailand) PCL (GYT),Thailand,Motor Vehicle Parts Companies
Goodyear (Thailand) PCL NVDR (GYT-R),Thailand,Motor Vehicle Parts Companies
Goodyear India Ltd. (500168),India,Motor Vehicle Parts Companies
Goodyear Indonesia (GDYR),Indonesia,Motor Vehicle Parts Companies
Goodyear Lastikleri T.A.S. (GOODY),Turkey,Motor Vehicle Parts Companies
Goodyear Tire & Rubber Co. (GTR),Germany,Motor Vehicle Parts Companies
Goodyear Tire & Rubber Co. (GT),United States,Motor Vehicle Parts Companies
Gordon Auto Body Parts Co. Ltd. (1524),Taiwan,Motor Vehicle Parts Companies
Govind Rubber Ltd. (509148),India,Motor Vehicle Parts Companies
Grammer AG (GMM),United States,Motor Vehicle Parts Companies
Grammer AG (GMM),Switzerland,Motor Vehicle Parts Companies
Greenchek Technology Inc. (GCHK),United States,Motor Vehicle Parts Companies
Groclin S.A. (GCN),Poland,Motor Vehicle Parts Companies
G-Tekt Corp. (5970),Japan,Motor Vehicle Parts Companies
Gui Zhou Tyre Co. Ltd. (000589),China,Motor Vehicle Parts Companies
Guilin Fuda Co. Ltd. (603166),China,Motor Vehicle Parts Companies
Guizhou Guihang Automotive Components Co. Ltd. A (600523),China,Motor Vehicle Parts Companies
Gujarat Automotive Gears Ltd. (505712),India,Motor Vehicle Parts Companies
Guyoung Technology Co. Ltd. (053270),South Korea,Motor Vehicle Parts Companies
Haldex AB (HLV),Germany,Motor Vehicle Parts Companies
Haldex AB (HLDX),Sweden,Motor Vehicle Parts Companies
Halla Holdings Corp. (060980),South Korea,Motor Vehicle Parts Companies
Hanil Forging Industrial Co. Ltd. (024740),South Korea,Motor Vehicle Parts Companies
Hankook Tire Co. Ltd. New (161390),South Korea,Motor Vehicle Parts Companies
Hankook Tire Worldwide Co. Ltd. (000240),South Korea,Motor Vehicle Parts Companies
Hanon Systems (018880),South Korea,Motor Vehicle Parts Companies
Harada Industry Co. Ltd. (6904),Japan,Motor Vehicle Parts Companies
Harbin Dongan Auto Engine Co. Ltd. A (600178),China,Motor Vehicle Parts Companies
Harbin VITI Electronic Co. Ltd. (603023),China,Motor Vehicle Parts Companies
Harita Seating Systems Ltd. (590043),India,Motor Vehicle Parts Companies
Hella KGaA Hueck & Co. (HLE),United States,Motor Vehicle Parts Companies
Hella KGaA Hueck & Co. (HLKHF),United States,Motor Vehicle Parts Companies
Hella KGaA Hueck & Co. ADR (HLLGY),United States,Motor Vehicle Parts Companies
Henan Province Xixia Automobile Water Pump Co. Ltd. (002536),China,Motor Vehicle Parts Companies
Hengli Industrial Development Group Co. Ltd. A (000622),China,Motor Vehicle Parts Companies
Highline Technical Innovations Inc. (HLNT),United States,Motor Vehicle Parts Companies
Hindustan Composites Ltd. (509635),India,Motor Vehicle Parts Companies
Hindustan Hardy Spicer Ltd. (505893),India,Motor Vehicle Parts Companies
Hiroca Holdings Ltd. (1338),Taiwan,Motor Vehicle Parts Companies
Hi-Tech Gears Ltd. (522073),India,Motor Vehicle Parts Companies
HKS Co. Ltd. (7219),Japan,Motor Vehicle Parts Companies
H-One Co. Ltd. (5989),Japan,Motor Vehicle Parts Companies
Horizon Global Corp. (HZN),United States,Motor Vehicle Parts Companies
Hota Industrial Mfg. Co. Ltd. (1536),Taiwan,Motor Vehicle Parts Companies
HS R&A Co. Ltd. (013520),South Korea,Motor Vehicle Parts Companies
Huaiji Dengyun Auto Parts Holding Co. Ltd. A (002715),China,Motor Vehicle Parts Companies
Huayu Automotive Systems Co. Ltd. (600741),China,Motor Vehicle Parts Companies
Huazhong In-Vehicle Holdings Co. Ltd. (6830),Hong Kong,Motor Vehicle Parts Companies
HuNan Tyen Machinery Co. Ltd. A (600698),China,Motor Vehicle Parts Companies
HuNan Tyen Machinery Co. Ltd. B (900946),China,Motor Vehicle Parts Companies
Hwa Fong Rubber (Thailand) PCL (HFT),Thailand,Motor Vehicle Parts Companies
Hwa Fong Rubber (Thailand) PCL NVDR (HFT-R),Thailand,Motor Vehicle Parts Companies
Hwa Fong Rubber Industry Co. Ltd. (2109),Taiwan,Motor Vehicle Parts Companies
